127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000582
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/css/calendar.css, HTTP/1.1, 304, 0.000378
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000489
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/calendar.js, HTTP/1.1, 304, 0.000446
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/web2py.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/jquery.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/share.js, HTTP/1.1, 200, 0.000516
127.0.0.1, 2018-04-18 08:22:42, GET, /camphyr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2018-04-18 08:22:43, GET, /camphyr/static/images/twitter.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2018-04-18 08:22:43, GET, /camphyr/static/images/facebook.png, HTTP/1.1, 200, 0.000977
127.0.0.1, 2018-04-18 08:22:43, GET, /camphyr/static/images/gplus-32.png, HTTP/1.1, 200, 0.000629
127.0.0.1, 2018-04-18 08:22:47, GET, /action, HTTP/1.1, 404, 0.000288
127.0.0.1, 2018-04-18 08:22:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2018-04-18 08:22:49, GET, /camphyr/default/index, HTTP/1.1, 200, 0.020350
127.0.0.1, 2018-04-18 09:19:22, GET, /, HTTP/1.1, 303, 0.000575
127.0.0.1, 2018-04-18 09:19:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.023605
127.0.0.1, 2018-04-18 09:19:25, GET, /admin/default/site, HTTP/1.1, 200, 0.023547
127.0.0.1, 2018-04-18 09:19:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2018-04-18 09:19:28, GET, /camphyr/default/index, HTTP/1.1, 200, 0.019973
127.0.0.1, 2018-04-18 09:19:38, GET, /action, HTTP/1.1, 404, 0.000244
127.0.0.1, 2018-04-18 09:19:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
